"Dataset","taxonID","datasetID","parentNameUsageID","acceptedNameUsageID","originalNameUsageID","scientificName","scientificNameAuthorship","canonicalName","genericName","specificEpithet","infraspecificEpithet","taxonRank","nameAccordingTo","namePublishedIn","taxonomicStatus","nomenclaturalStatus","taxonRemarks","kingdom","phylum","class","order","family","genus","dupe_dataset"
"BOTH",9047206,"c8227bb4-4143-443f-8cb2-51f9576aff14","8500874",NA,NA,"Gaeolaelaps izajiensis Saeidi, Nemati & Khalili-Moghadam, 2016","Saeidi, Nemati & Khalili-Moghadam, 2016","Gaeolaelaps izajiensis","Gaeolaelaps","izajiensis",NA,"species",NA,"Saeidi, Zarir, Alireza Nemati & Arsalan Khalili-Moghadam. 2016. Description of a new species of Gaeolaelaps (Acari: Laelapidae) from Iran. ZooKeys 612: 31–40.","accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Laelapidae","Gaeolaelaps","GBIF"
"BOTH",8498514,"c8227bb4-4143-443f-8cb2-51f9576aff14","4336758",NA,NA,"Arctoseius koltschaki Makarova & Lindquist, 2013","Makarova & Lindquist, 2013","Arctoseius koltschaki","Arctoseius","koltschaki",NA,"species",NA,"Makarova, Olga L. & Evert E. Lindquist. 2013. A new species of the gamasid mite genus Arctoseius Thor, 1930 (Parasitiformes, Mesostigmata, Ascidae) from Russia with a key to the multidentatus species-group. ZooKeys 313: 9-24.","accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Ascidae","Arctoseius","GBIF"
"BOTH",8764837,"c8227bb4-4143-443f-8cb2-51f9576aff14","8500874",NA,NA,"Gaeolaelaps iranicus Kavianpour & Nemati, 2013","Kavianpour & Nemati, 2013","Gaeolaelaps iranicus","Gaeolaelaps","iranicus",NA,"species",NA,"Kavianpour, Mohammadreza, Alireza Nemati, Dariusz J. Gwiazdowicz & Farhan Kocheili. 2013. A new species of the genus Gaeolaelaps (Acari, Mesostigmata, Laelapidae) from Iran. ZooKeys 277: 1-11.","accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Laelapidae","Gaeolaelaps","GBIF"
"BOTH",8579486,"de8934f4-a136-481c-a87a-b0b202b80a31","8500874","9717093",NA,"Hypoaspis brevipilis Bernhard, 1969","Bernhard, 1969","Hypoaspis brevipilis","Hypoaspis","brevipilis",NA,"species",NA,NA,"homotypicSynonym",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Laelapidae","Gaeolaelaps","GBIF"
"BOTH",4542114,"4dd32523-a3a3-43b7-84df-4cda02f15cf7","2181035",NA,NA,"Arrenurus ornatus George, 1900","George, 1900","Arrenurus ornatus","Arrenurus","ornatus",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Trombidiformes","Arrenuridae","Arrenurus","GBIF"
"BOTH",4546482,"90d9e8a6-0ce1-472d-b682-3451095dbc5a","2188419","2188447",NA,"Brachychochthonius meridionalis Bernini, 1973","Bernini, 1973","Brachychochthonius meridionalis","Brachychochthonius","meridionalis",NA,"species",NA,NA,"homotypicSynonym",NA,"Originally found in sources as doubtful taxon within Sellnickochthonius Krivolutsky, 1964","Animalia","Arthropoda","Arachnida","Sarcoptiformes","Brachychthoniidae","Sellnickochthonius","GBIF"
"BOTH",9916265,"7ddf754f-d193-4cc9-b351-99906754a03b","7499912","2187203","2186930","Euseius pruni (Gupta, 1975)","(Gupta, 1975)","Euseius pruni","Euseius","pruni",NA,"species",NA,"Gupta, S.K. Mites of the genus Amblyseius (Acarina: Phytoseiidae) from India with descriptions of eight new species. International Journal of Acarology, USA, 1(2), 26–45. (1975).","heterotypicSynonym",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Phytoseiidae","Euseius","GBIF"
"BOTH",10137705,"7ddf754f-d193-4cc9-b351-99906754a03b","2194522","2194655",NA,"Hoploderma boreale Trägårdh, 1910","Trägårdh, 1910","Hoploderma boreale","Hoploderma","boreale",NA,"species",NA,NA,"homotypicSynonym",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Phthiracaridae","Phthiracarus","GBIF"
"BOTH",7495641,"2d59e5db-57ad-41ff-97d6-11f5fb264527","2180728","2180744",NA,"Halacarus reticulatus Trouessart, 1893","Trouessart, 1893","Halacarus reticulatus","Halacarus","reticulatus",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Arachnida","Trombidiformes","Halacaridae","Copidognathus","GBIF"
"BOTH",9679735,"7ddf754f-d193-4cc9-b351-99906754a03b","2187232","2187445",NA,"Neoseiulus ornatus (Liang & Ke, 1984)","(Liang & Ke, 1984)","Neoseiulus ornatus","Neoseiulus","ornatus",NA,"species",NA,"Liang, L.R. & Ke, L.S. Three new phytoseiid mites of the genus Amblyseius (Acari: Phytoseiidae) [in Chinese]. Acta Zootaxonomica Sinica, China, 9(2), 151–155. (1984).","heterotypicSynonym",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Phytoseiidae","Neoseiulus","GBIF"
"BOTH",6897092,"c8227bb4-4143-443f-8cb2-51f9576aff14","2196606","2196608",NA,"Oppiella bulanovae Hammer, 1968","Hammer, 1968","Oppiella bulanovae","Oppiella","bulanovae",NA,"species",NA,"Hammer, Marie. 1968. Investigations on the oribatid fauna of New Zealand with a comparison between the oribatid fauna of New Zealand and that of the Andes Mountains, South America. Part III. Vol. 16, No. 2.","homotypicSynonym",NA,"Originally found in sources as accepted taxon within Oppiella Jacot, 1937","Animalia","Arthropoda","Arachnida","Sarcoptiformes","Oppiidae","Ptiloppia","GBIF"
"BOTH",8909983,"90d9e8a6-0ce1-472d-b682-3451095dbc5a","2197395","2197396",NA,"Oppia parva Lombardini, 1952","Lombardini, 1952","Oppia parva","Oppia","parva",NA,"species",NA,NA,"homotypicSynonym",NA,"Originally found in sources as homotypic synonym of Medioppia parva (Lombardini, 1952)","Animalia","Arthropoda","Arachnida","Sarcoptiformes","Oppiidae","Rhinoppia","GBIF"
