"source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","subclass","superorder","order","suborder","infraorder","hyporder","superfamily","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"UMZM",4670,NA,NA,NA,NA,NA,NA,NA,"Eucheyletiella ochotonae",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletidae","Cheyletiellinae","Cheyletiellini",NA,"Eucheyletiella",NA,"ochotonae",NA,"species",NA,NA,NA,NA,NA,NA,NA,"Eucheyletiella ochotonae"
"UMZM",4671,NA,NA,NA,NA,NA,NA,NA,"Eucheyletiella pallasius",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletidae","Cheyletiellinae","Cheyletiellini",NA,"Eucheyletiella",NA,"pallasius",NA,"species",NA,NA,NA,NA,NA,NA,NA,"Eucheyletiella pallasius"
"UMZM",4672,NA,NA,NA,NA,NA,NA,NA,"Eucheyletiella pusillinus",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletidae","Cheyletiellinae","Cheyletiellini",NA,"Eucheyletiella",NA,"pusillinus",NA,"species",NA,NA,NA,NA,NA,NA,NA,"Eucheyletiella pusillinus"
"UMZM",4673,NA,NA,NA,NA,NA,NA,NA,"Eucheyletiella takahasii",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletidae","Cheyletiellinae","Cheyletiellini",NA,"Eucheyletiella",NA,"takahasii",NA,"species",NA,NA,NA,NA,NA,NA,NA,"Eucheyletiella takahasii"
"UMZM",4676,NA,NA,NA,NA,NA,NA,NA,"Metacheyletia amazonae",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletidae","Cheyletiellinae","Metacheuletiini",NA,"Metacheyletia",NA,"amazonae",NA,"species",NA,NA,NA,NA,NA,NA,NA,"Metacheyletia amazonae"
"UMZM",4677,NA,NA,NA,NA,NA,NA,NA,"Metacheyletia degenerata",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletidae","Cheyletiellinae","Metacheuletiini",NA,"Metacheyletia",NA,"degenerata",NA,"species",NA,NA,NA,NA,NA,NA,NA,"Metacheyletia degenerata"
"UMZM",4678,NA,NA,NA,NA,NA,NA,NA,"Metacheyletia longisetosa",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletidae","Cheyletiellinae","Metacheuletiini",NA,"Metacheyletia",NA,"longisetosa",NA,"species",NA,NA,NA,NA,NA,NA,NA,"Metacheyletia longisetosa"
"UMZM",4679,NA,NA,NA,NA,NA,NA,NA,"Metacheyletia ngaii",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletidae","Cheyletiellinae","Metacheuletiini",NA,"Metacheyletia",NA,"ngaii",NA,"species",NA,NA,NA,NA,NA,NA,NA,"Metacheyletia ngaii"
"UMZM",4680,NA,NA,NA,NA,NA,NA,NA,"Metacheyletia obesa",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletidae","Cheyletiellinae","Metacheuletiini",NA,"Metacheyletia",NA,"obesa",NA,"species",NA,NA,NA,NA,NA,NA,NA,"Metacheyletia obesa"
"UMZM",4683,NA,NA,NA,NA,NA,NA,NA,"Apodicheles apus",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletidae","Cheyletiellinae","Ornithocheyletiini",NA,"Apodicheles",NA,"apus",NA,"species",NA,NA,NA,NA,NA,NA,NA,"Apodicheles apus"
"UMZM",4684,NA,NA,NA,NA,NA,NA,NA,"Apodicheles collocalia",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletidae","Cheyletiellinae","Ornithocheyletiini",NA,"Apodicheles",NA,"collocalia",NA,"species",NA,NA,NA,NA,NA,NA,NA,"Apodicheles collocalia"
"UMZM",4685,NA,NA,NA,NA,NA,NA,NA,"Apodicheles cupsiurus",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletidae","Cheyletiellinae","Ornithocheyletiini",NA,"Apodicheles",NA,"cupsiurus",NA,"species",NA,NA,NA,NA,NA,NA,NA,"Apodicheles cupsiurus"
"UMZM",4686,NA,NA,NA,NA,NA,NA,NA,"Apodicheles heteropalpus",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletidae","Cheyletiellinae","Ornithocheyletiini",NA,"Apodicheles",NA,"heteropalpus",NA,"species",NA,NA,NA,NA,NA,NA,NA,"Apodicheles heteropalpus"
