"compared_names","similar_names"
"Ereynetidae","Ereynetinae"
"Lawrencarinae","Lawrencarini"
"Speleognathinae","Speleognathini"
"Paraspeleognathopsini","Paraspeleognathopsis"
"Labidostommatina","Labidostommatidae"
"Labidostommatoidea","Labidostommatidae"
"Sphaerolichida","Sphaerolichidae"
"Lordalychoidea","Lordalychidae"
"Sphaerolichoidea","Sphaerolichida"
"Sphaerolichoidea","Sphaerolichidae"
"Holothyrida","Holothyridae"
"Holothyroidea","Holothyrida"
"Holothyroidea","Holothyridae"
"Allothyridae","Holothyridae"
"Neothyridae","Nothridae"
"Ixodida","Ixodidae"
"Ixodoidea","Ixodida"
"Ixodoidea","Ixodidae"
"Arctacariae","Arctacaridae"
"Arctacaroidea","Arctacaridae"
"Dermanyssiae","Dermanyssidae"
"Ascidae","Alycidae"
"Ascidae","Ascoidea"
"Dermanyssoidea","Dermanyssidae"
"Entonyssidae","Entonyssinae"
"Hemilaelaps","Haemolaelaps"
"Atricholaelaps","Tricholaelaps"
"Coleolaelaps","Conolaelaps"
"Coleolaelaps","Cosmolaelaps"
"Dianolaelaps","Diplolaelaps"
"Dianolaelaps","Sinolaelaps"
"Gaeolaelaps","Haemolaelaps"
"Gaeolaelaps","Neolaelaps"
"Julolaelaps","Tylolaelaps"
"Laelapsoides","Laelaspoides"
"Longolaelaps","Conolaelaps"
"Mesolaelaps","Mysolaelaps"
"Myrmolaelaps","Mysolaelaps"
"Notolaelaps","Conolaelaps"
"Notolaelaps","Neolaelaps"
"Pneumolaelaps","Pseudolaelaps"
"Zygolaelaps","Mysolaelaps"
"Zygolaelaps","Tylolaelaps"
"Eviphidoidea","Eviphididae"
"Phytoseioidea","Phytoseiidae"
"Rhodacaroidea","Rhodacaridae"
"Teranyssidae","Dermanyssidae"
"Veigaioidea","Veigaiidae"
"Epicriiae","Epicriidae"
"Epicrioidea","Epicriidae"
"Heatherelloidea","Heatherellidae"
"Zerconoidea","Zerconidae"
"Parasitiae","Parasitidae"
"Parasitoidea","Parasitidae"
"Uropodina","Uropodidae"
"Diarthrophalloidea","Diarthrophallidae"
"Microgynioidea","Microgyniidae"
"Thinozerconoidea","Thinozerconidae"
"Protodinychidae","Prodinychidae"
"Oplitidae","Oppiidae"
"Urodinychidae","Prodinychidae"
"Sejida","Sejidae"
"Heterozerconoidea","Heterozerconidae"
"Sejoidea","Sejida"
"Sejoidea","Sejidae"
"Antennophorina","Antennophoridae"
"Aenictequoidea","Aenictequidae"
"Antennophoroidea","Antennophoridae"
"Celaenopsoidea","Celaenopsidae"
"Diplogyniidae","Triplogyniidae"
"Fedrizzioidea","Fedrizziidae"
"Megisthanoidea","Megisthanidae"
"Paramegistoidea","Paramegistidae"
"Parantennuloidea","Parantennulidae"
"Promegistidae","Paramegistidae"
"Cercomegistina","Cercomegistidae"
"Cercomegistoidea","Cercomegistidae"
"Davacaridae","Halacaridae"
"Opilioacarida","Opilioacaridae"
"Opilioacaroidea","Opilioacarida"
"Opilioacaroidea","Opilioacaridae"
"Proctophyllodes armatus","Proctophyllodes ornatus"
"Proctophyllodes ateri","Proctophyllodes atyeoi"
"Proctophyllodes ateri","Proctophyllodes icteri"
"Proctophyllodes ciae","Proctophyllodes picae"
"Proctophyllodes icterina","Proctophyllodes icteri"
"Proctophyllodes pittae","Proctophyllodes picae"
"Proctophyllodes serini","Proctophyllodes spini"
"Proctophyllodes sialiae","Proctophyllodes silviae"
"Proctophyllodes sylviae","Proctophyllodes silviae"
"Proctophyllodes tanagrae","Proctophyllodes tchagrae"
"Pteronyssoides eupasseris","Pteronyssoides passeris"
"Trouessartia baupi","Trouessartia carpi"
"Trouessartia sialiae","Trouessartia sicaliae"
"Analloptes megatrichopus","Analloptes mesotrichopus"
"Neottialges elani","Neottialges evansi"
"Listrophoroides colomys","Listrophoroides melomys"
"Listrophoroides colomys","Listrophoroides pelomys"
"Listrophoroides hylomyscus","Listrophoroides myomyscus"
"Listrophoroides mastomys","Listrophoroides batomys"
"Listrophoroides mastomys","Listrophoroides maxomys"
"Listrophoroides notatus","Listrophoroides coxatus"
"Listrophoroides teinophallus","Listrophoroides stenophallus"
"Listrophoroides aethomys","Listrophoroides dephomys"
"Listrophoroides uranomys","Listrophoroides crunomys"
"Listrophoroides paulianus","Listrophoroides pauliani"
"Listrophoroides angulatus","Listrophoroides annulatus"
"Listrophoroides trilineatus","Listrophoroides bilineatus"
"Listrophoroides femoratus","Listrophoroides decoratus"
"Listrophoroides oenomys","Listrophoroides melomys"
"Listrophoroides oenomys","Listrophoroides deomys"
"Listrophoroides oenomys","Listrophoroides pelomys"
"Listrophoroides oenomys","Listrophoroides nesomys"
"Listrophoroides apomys","Listrophoroides batomys"
"Listrophoroides apomys","Listrophoroides maxomys"
"Listrophoroides apomys","Listrophoroides deomys"
"Listrophoroides scutatus","Listrophoroides scutalis"
"Alabidocarpus chalinolobi","Olabidocarpus chalinolobi"
"Alabidocarpus eptesicus","Olabidocarpus eptesicus"
"Alabidocarpus laviae","Labidocarpus laviae"
"Alabidocarpus miniopteri","Olabidocarpus miniopteri"
"Alabidocarpus minor","Labidocarpus minor"
"Alabidocarpus nycteris","Olabidocarpus nycteris"
"Alabidocarpus taphozous","Olabidocarpus taphozous"
"Olabidocarpus africanus","Olabidocarpus americanus"
"Schizocarpus humilis","Schizocarpus similis"
"Yunkeracarus apomys","Yunkeracarus otomys"
"Geomylichus neacomys","Geomylichus nectomys"
"Listrophorus americanus","Listrophorus mexicanus"
"Olistrophorus bilobatus","Olistrophorus unilobatus"
"Chirobia angolensis","Chirobia congolensis"
"Notoedres americanus","Notoedres africanus"
"Nycteridocoptes macrophallus","Nycteridocoptes microphallus"
"Acaropsellina docta","Acaropsellina porta"
"Acaropsellina opsis","Acaropsellina orbis"
"Cheletomimus wellsi","Cheletomimus wellsina"
"Cheyletus malaccensis","Cheyletus malayensis"
"Eucheyletia hardyi","Eucheyletia harpyia"
"Sciurocheuyla angolensis","Sciurocheuyla congolensis"
"Demodex bovis","Demodex ovis"
"Demodex brevis","Demodex bovis"
"Demodex canis","Demodex cati"
"Demodex canis","Demodex cyonis"
"Demodex canis","Demodex nanus"
"Demodex caprae","Demodex caviae"
"Demodex criceti","Demodex cricetuli"
"Demodex gatoi","Demodex cati"
"Demodex gatoi","Demodex ratti"
"Neharpyrhynchus turdi","Neharpyrhynchus turdus"
"Psorergates auricola","Psorergates muricola"
"Psorergates deomydis","Psorergates dremomydis"
"Picobia echo","Picobia ochoi"
"Picobia phoeniculi","Picobia phoenicuri"
"Aulonastus lanius","Aulonastus loxius"
"Syringophilopsis sturni","Syringophilopsis turdi"
"Radfordia dryomys","Radfordia oryzomys"
"Radfordia dryomys","Radfordia praomys"
