"TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","subclass","superorder","order","suborder","infraorder","hyporder","superfamily","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"UMZM",49,NA,NA,NA,NA,NA,NA,NA,NA,"Proteonematalycidae Kethley, 1989",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Endeostigmata","Nematalycina",NA,"Nematalycoidea","Proteonematalycidae",NA,NA,NA,NA,NA,NA,NA,"family",NA,"Kethley, 1989",NA,NA,NA,NA,NA,"Proteonematalycidae"
"UMZM",50,NA,NA,NA,NA,NA,NA,NA,NA,"Terpnacarida OConnor, 1984",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Endeostigmata","Terpnacarida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"infraorder",NA,"OConnor, 1984",NA,NA,NA,NA,NA,"Terpnacarida"
"UMZM",51,NA,NA,NA,NA,NA,NA,NA,NA,"Oehserchestoidea Kethley, 1977",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Endeostigmata","Terpnacarida",NA,"Oehserchestoidea",NA,NA,NA,NA,NA,NA,NA,NA,"superfamily",NA,"Kethley, 1977",NA,NA,NA,NA,NA,"Oehserchestoidea"
"UMZM",52,NA,NA,NA,NA,NA,NA,NA,NA,"Grandjeanicidae Kethley, 1977",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Endeostigmata","Terpnacarida",NA,"Oehserchestoidea","Grandjeanicidae",NA,NA,NA,NA,NA,NA,NA,"family",NA,"Kethley, 1977",NA,NA,NA,NA,NA,"Grandjeanicidae"
"UMZM",53,NA,NA,NA,NA,NA,NA,NA,NA,"Oehserchestidae Kethley, 1977",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Endeostigmata","Terpnacarida",NA,"Oehserchestoidea","Oehserchestidae",NA,NA,NA,NA,NA,NA,NA,"family",NA,"Kethley, 1977",NA,NA,NA,NA,NA,"Oehserchestidae"
"UMZM",54,NA,NA,NA,NA,NA,NA,NA,NA,"Terpnacaroidea Grandjean, 1939",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Endeostigmata","Terpnacarida",NA,"Terpnacaroidea",NA,NA,NA,NA,NA,NA,NA,NA,"superfamily",NA,"Grandjean, 1939",NA,NA,NA,NA,NA,"Terpnacaroidea"
"UMZM",55,NA,NA,NA,NA,NA,NA,NA,NA,"Terpnacaridae Grandjean, 1939",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Endeostigmata","Terpnacarida",NA,"Terpnacaroidea","Terpnacaridae",NA,NA,NA,NA,NA,NA,NA,"family",NA,"Grandjean, 1939",NA,NA,NA,NA,NA,"Terpnacaridae"
"UMZM",56,NA,NA,NA,NA,NA,NA,NA,NA,"Oribatida Dugès, 1833",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Oribatida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"suborder",NA,"Dugès, 1833",NA,NA,NA,NA,NA,"Oribatida"
"UMZM",57,NA,NA,NA,NA,NA,NA,NA,NA,"Desmonomata Woolley, 1973",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Oribatida","Desmonomata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"infraorder",NA,"Woolley, 1973",NA,NA,NA,NA,NA,"Desmonomata"
"UMZM",58,NA,NA,NA,NA,NA,NA,NA,NA,"Astigmata Canestrini, 1891",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Oribatida","Desmonomata","Astigmata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"hyporder",NA,"Canestrini, 1891",NA,NA,NA,NA,NA,"Astigmata"
"UMZM",59,NA,NA,NA,NA,NA,NA,NA,NA,"Chetochelacaridae Fain, 1987",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Oribatida","Desmonomata","Astigmata",NA,"Chetochelacaridae",NA,NA,NA,NA,NA,NA,NA,"family",NA,"Fain, 1987",NA,NA,NA,NA,NA,"Chetochelacaridae"
"UMZM",60,NA,NA,NA,NA,NA,NA,NA,NA,"Heterocoptidae Fain, 1967",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Oribatida","Desmonomata","Astigmata",NA,"Heterocoptidae",NA,NA,NA,NA,NA,NA,NA,"family",NA,"Fain, 1967",NA,NA,NA,NA,NA,"Heterocoptidae"
"UMZM",61,NA,NA,NA,NA,NA,NA,NA,NA,"Lemanniellidae Wurst, 2001",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Oribatida","Desmonomata","Astigmata",NA,"Lemanniellidae",NA,NA,NA,NA,NA,NA,NA,"family",NA,"Wurst, 2001",NA,NA,NA,NA,NA,"Lemanniellidae"
"UMZM",62,NA,NA,NA,NA,NA,NA,NA,NA,"Acaroidea Latreille, 1802",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Oribatida","Desmonomata","Astigmata","Acaroidea",NA,NA,NA,NA,NA,NA,NA,NA,"superfamily",NA,"Latreille, 1802",NA,NA,NA,NA,NA,"Acaroidea"
"UMZM",63,NA,NA,NA,NA,NA,NA,NA,NA,"Acaridae Latreille, 1802",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Oribatida","Desmonomata","Astigmata","Acaroidea","Acaridae",NA,NA,NA,NA,NA,NA,NA,"family",NA,"Latreille, 1802",NA,NA,NA,NA,NA,"Acaridae"
"UMZM",64,NA,NA,NA,NA,NA,NA,NA,NA,"Gaudiellidae Atyeo, Baker & Delfinado, 1974",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Oribatida","Desmonomata","Astigmata","Acaroidea","Gaudiellidae",NA,NA,NA,NA,NA,NA,NA,"family",NA,"Atyeo, Baker & Delfinado, 1974",NA,NA,NA,NA,NA,"Gaudiellidae"
"UMZM",65,NA,NA,NA,NA,NA,NA,NA,NA,"Glycacaridae Griffiths, 1977",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Oribatida","Desmonomata","Astigmata","Acaroidea","Glycacaridae",NA,NA,NA,NA,NA,NA,NA,"family",NA,"Griffiths, 1977",NA,NA,NA,NA,NA,"Glycacaridae"
"UMZM",66,NA,NA,NA,NA,NA,NA,NA,NA,"Lardoglyphidae Oudemans, 1927",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Oribatida","Desmonomata","Astigmata","Acaroidea","Lardoglyphidae",NA,NA,NA,NA,NA,NA,NA,"family",NA,"Oudemans, 1927",NA,NA,NA,NA,NA,"Lardoglyphidae"
"UMZM",67,NA,NA,NA,NA,NA,NA,NA,NA,"Scatoglyphidae Zachvatkin & Volgin, 1956",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Oribatida","Desmonomata","Astigmata","Acaroidea","Scatoglyphidae",NA,NA,NA,NA,NA,NA,NA,"family",NA,"Zachvatkin & Volgin, 1956",NA,NA,NA,NA,NA,"Scatoglyphidae"
"UMZM",68,NA,NA,NA,NA,NA,NA,NA,NA,"Suidasiidae Hughes, 1948",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Oribatida","Desmonomata","Astigmata","Acaroidea","Suidasiidae",NA,NA,NA,NA,NA,NA,NA,"family",NA,"Hughes, 1948",NA,NA,NA,NA,NA,"Suidasiidae"
"UMZM",69,NA,NA,NA,NA,NA,NA,NA,NA,"Analgoidea Trouessart & Mégnin, 1884",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Oribatida","Desmonomata","Astigmata","Analgoidea",NA,NA,NA,NA,NA,NA,NA,NA,"superfamily",NA,"Trouessart & Mégnin, 1884",NA,NA,NA,NA,NA,"Analgoidea"
"UMZM",70,NA,NA,NA,NA,NA,NA,NA,NA,"Alloptidae Gaud, 1957",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Oribatida","Desmonomata","Astigmata","Analgoidea","Alloptidae",NA,NA,NA,NA,NA,NA,NA,"family",NA,"Gaud, 1957",NA,NA,NA,NA,NA,"Alloptidae"
"UMZM",71,NA,NA,NA,NA,NA,NA,NA,NA,"Alloptinae Gaud, 1957",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Oribatida","Desmonomata","Astigmata","Analgoidea","Alloptidae","Alloptinae",NA,NA,NA,NA,NA,NA,"subfamily",NA,"Gaud, 1957",NA,NA,NA,NA,NA,"Alloptinae"
"UMZM",72,NA,NA,NA,NA,NA,NA,NA,NA,"Alloptes Canestrini, 1879",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Oribatida","Desmonomata","Astigmata","Analgoidea","Alloptidae","Alloptinae",NA,NA,"Alloptes",NA,NA,NA,"genus",NA,"Canestrini, 1879",NA,NA,NA,NA,NA,"Alloptes"
"UMZM",73,NA,NA,NA,NA,NA,NA,NA,NA,"Alloptes Canestrini, 1879",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Oribatida","Desmonomata","Astigmata","Analgoidea","Alloptidae","Alloptinae",NA,NA,"Alloptes","Alloptes",NA,NA,"subgenus",NA,"Canestrini, 1879",NA,NA,NA,NA,NA,"Alloptes"
