"Dataset","taxonID","datasetID","parentNameUsageID","acceptedNameUsageID","originalNameUsageID","scientificName","scientificNameAuthorship","canonicalName","genericName","specificEpithet","infraspecificEpithet","taxonRank","nameAccordingTo","namePublishedIn","nomenclaturalStatus","taxonRemarks","kingdom","phylum","class","order","family","genus"
"BOTH",5174083,"7ddf754f-d193-4cc9-b351-99906754a03b","8326529","5174079",NA,"Ixodes segalasi Euzéby, 1957","Euzéby, 1957","Ixodes segalasi","Ixodes","segalasi",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Ixodes"
"BOTH",5174070,"7ddf754f-d193-4cc9-b351-99906754a03b","8326529","5174069",NA,"Ixodes rubidis Clifford et al., 1973","Clifford et al., 1973","Ixodes rubidis","Ixodes","rubidis",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Ixodes"
"BOTH",10608037,"de8934f4-a136-481c-a87a-b0b202b80a31","2185003","4550042",NA,"Parasitus eta Oudemans & Voigts, 1904","Oudemans & Voigts, 1904","Parasitus eta","Parasitus","eta",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Parasitidae","Parasitus"
"BOTH",7580679,"7ddf754f-d193-4cc9-b351-99906754a03b","2183844","2183841",NA,"Rhipicephalus simus Tendeiro, 1946","Tendeiro, 1946","Rhipicephalus simus","Rhipicephalus","simus",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Rhipicephalus"
"BOTH",8102119,"7ddf754f-d193-4cc9-b351-99906754a03b","2183844","2183600",NA,"Rhipicephalus simus Morel & Vassiliades, 1965","Morel & Vassiliades, 1965","Rhipicephalus simus","Rhipicephalus","simus",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Rhipicephalus"
"BOTH",8353627,"7ddf754f-d193-4cc9-b351-99906754a03b","2183844","2183600",NA,"Rhipicephalus simus Tonelli-Rondelli, 1930","Tonelli-Rondelli, 1930","Rhipicephalus simus","Rhipicephalus","simus",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Rhipicephalus"
"BOTH",8231166,"7ddf754f-d193-4cc9-b351-99906754a03b","2183844","2183545",NA,"Rhipicephalus follis Theiler & Robinson, 1935","Theiler & Robinson, 1935","Rhipicephalus follis","Rhipicephalus","follis",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Rhipicephalus"
"BOTH",9233143,"90d9e8a6-0ce1-472d-b682-3451095dbc5a","4547815","4547818",NA,"Proctophyllodes bureschi Vassilev, 1958","Vassilev, 1958","Proctophyllodes bureschi","Proctophyllodes","bureschi",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Proctophyllodidae","Alaudicola"
"BOTH",2184462,"7ddf754f-d193-4cc9-b351-99906754a03b","2184412","2184460",NA,"Ornithodoros jalaje Adamson, 1935","Adamson, 1935","Ornithodoros jalaje","Ornithodoros","jalaje",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Argasidae","Carios"
"BOTH",2183993,"7ddf754f-d193-4cc9-b351-99906754a03b","7967293","2183986",NA,"Hyalomma variegatum Weiss, 1911","Weiss, 1911","Hyalomma variegatum","Hyalomma","variegatum",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Amblyomma"
"BOTH",2183997,"7ddf754f-d193-4cc9-b351-99906754a03b","7967293","2183996",NA,"Amblyomma immaculatum Spicer & Dove, 1938","Spicer & Dove, 1938","Amblyomma immaculatum","Amblyomma","immaculatum",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Amblyomma"
"BOTH",2183988,"7ddf754f-d193-4cc9-b351-99906754a03b","7967293","2183986",NA,"Hyalomma venustum Michael, 1893","Michael, 1893","Hyalomma venustum","Hyalomma","venustum",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Amblyomma"
"BOTH",8185724,"7ddf754f-d193-4cc9-b351-99906754a03b","7967293","2183986",NA,"Amblyomma pomposum Robinson, 1926","Robinson, 1926","Amblyomma pomposum","Amblyomma","pomposum",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Amblyomma"
"BOTH",2184923,"7ddf754f-d193-4cc9-b351-99906754a03b","2184982","2184918",NA,"Argas perricus George, 1877","George, 1877","Argas perricus","Argas","perricus",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Argasidae","Argas"
"BOTH",2184929,"7ddf754f-d193-4cc9-b351-99906754a03b","2184982","2184918",NA,"Argas persikus Schneidemühl, 1896","Schneidemühl, 1896","Argas persikus","Argas","persikus",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Argasidae","Argas"
"BOTH",2184922,"7ddf754f-d193-4cc9-b351-99906754a03b","2184982","2184918",NA,"Rhynchoprium persicum Castellani & Chalmers, 1919","Castellani & Chalmers, 1919","Rhynchoprium persicum","Rhynchoprium","persicum",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Argasidae","Argas"
"BOTH",2183197,"7ddf754f-d193-4cc9-b351-99906754a03b","2184365","2183195",NA,"Haemaphysalis numidiana Nuttall, 1905","Nuttall, 1905","Haemaphysalis numidiana","Haemaphysalis","numidiana",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Haemaphysalis"
