"Dataset","taxonID","datasetID","parentNameUsageID","acceptedNameUsageID","originalNameUsageID","scientificName","scientificNameAuthorship","canonicalName","genericName","specificEpithet","infraspecificEpithet","taxonRank","nameAccordingTo","namePublishedIn","taxonomicStatus","nomenclaturalStatus","taxonRemarks","kingdom","phylum","class","order","family","genus","TPTdataset","TPTID","scientificNameID","nameAccordingToID","namePublishedInID","taxonConceptID","acceptedNameUsage","parentNameUsage","originalNameUsage","namePublishedInYear","higherClassification","subgenus","verbatimTaxonRank","vernacularName","nomenclaturalCode","reason"
"BOTH","2184524","7ddf754f-d193-4cc9-b351-99906754a03b","2184412","2184522",NA,"Alectorobius azteci Morel, 1967","Morel, 1967","Alectorobius azteci","Alectorobius","azteci",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda",NA,"Ixodida","Argasidae","Carios",NA,NA,NA,NA,NA,NA,"Carios azteci",NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"BOTH","2184859","7ddf754f-d193-4cc9-b351-99906754a03b","2184982","2184856",NA,"Argas kochi Neumann, 1901","Neumann, 1901","Argas kochi","Argas","kochi",NA,"species",NA,NA,"heterotypic synonym",NA,NA,"Animalia","Arthropoda",NA,"Ixodida","Argasidae","Argas",NA,NA,NA,NA,NA,NA,"Argas transgariepinus",NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"BOTH","4338000","7ddf754f-d193-4cc9-b351-99906754a03b","4337999","4338003",NA,"Porohalacarus caecus Husmann & Teschner, 1970","Husmann & Teschner, 1970","Porohalacarus caecus","Porohalacarus","caecus",NA,"species",NA,NA,"heterotypic synonym",NA,NA,"Animalia","Arthropoda",NA,"Trombidiformes","Halacaridae","Lobohalacarus",NA,NA,NA,NA,NA,NA,"Lobohalacarus weberi tristanensis",NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"NEW","7509152","7ddf754f-d193-4cc9-b351-99906754a03b","2130420","2128991","2128998","Petrobia harti (Ewing, 1909)","(Ewing, 1909)","Petrobia harti","Petrobia","harti",NA,"species",NA,"Wainstein, B.A. A revision of the tribe Petrobiini (Reck) (Acariformes, Tetranychidae). Entomologicheskoe Obozrenie, 39: 214-226. (1960).","synonym",NA,NA,"Animalia","Arthropoda",NA,"Trombidiformes","Tetranychidae","Petrobia",NA,NA,NA,NA,NA,NA,"Petrobia harti",NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"NEW","7614872","7ddf754f-d193-4cc9-b351-99906754a03b","2130327","2130328","2130329","Neopetrobia plinthi (Meyer, 1989)","(Meyer, 1989)","Neopetrobia plinthi","Neopetrobia","plinthi",NA,"species",NA,"Bolland, H.R., Gutierrez, J. and Flechtmann, C.H.W. World catalogue of the spider mite family (Acari: Tetranychidae). Leiden, Brill Academic Publishers: 392 p. (1998).","synonym",NA,NA,"Animalia","Arthropoda",NA,"Trombidiformes","Tetranychidae","Neopetrobia",NA,NA,NA,NA,NA,NA,"Neopetrobia plinthi",NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"NEW","7678389","7ddf754f-d193-4cc9-b351-99906754a03b","2130431","2130541","2130543","Oligonychus afrasiaticus (McGregor, 1939)","(McGregor, 1939)","Oligonychus afrasiaticus","Oligonychus","afrasiaticus",NA,"species",NA,"Tuttle, D.M. and Baker, E.W. Spider mites of southwestern United States and a revision of the family Tetranychidae. Tuscon, Usa, The University of Arizona Press: 143 p. (1968).","synonym",NA,NA,"Animalia","Arthropoda",NA,"Trombidiformes","Tetranychidae","Oligonychus",NA,NA,NA,NA,NA,NA,"Oligonychus afrasiaticus",NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"NEW","7803324","7ddf754f-d193-4cc9-b351-99906754a03b","2130431","2130603","2130604","Oligonychus milleri (McGregor, 1950)","(McGregor, 1950)","Oligonychus milleri","Oligonychus","milleri",NA,"species",NA,"Tuttle, D.M. and Baker, E.W. Spider mites of southwestern United States and a revision of the family Tetranychidae. Tuscon, Usa, The University of Arizona Press: 143 p. (1968).","synonym",NA,NA,"Animalia","Arthropoda",NA,"Trombidiformes","Tetranychidae","Oligonychus",NA,NA,NA,NA,NA,NA,"Oligonychus milleri",NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"NEW","7809966","7ddf754f-d193-4cc9-b351-99906754a03b","2130013","2129475","5167843","Paraplonobia ambrosiae (Tuttle, Baker & Abbatiello, 1976)","(Tuttle, Baker & Abbatiello, 1976)","Paraplonobia ambrosiae","Paraplonobia","ambrosiae",NA,"species",NA,"Bolland, H.R., Gutierrez, J. and Flechtmann, C.H.W. World catalogue of the spider mite family (Acari: Tetranychidae). Leiden, Brill Academic Publishers: 392 p. (1998).","synonym",NA,NA,"Animalia","Arthropoda",NA,"Trombidiformes","Tetranychidae","Paraplonobia",NA,NA,NA,NA,NA,NA,"Paraplonobia ambrosiae",NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"NEW","7836596","7ddf754f-d193-4cc9-b351-99906754a03b","2130431","2130669","2130672","Oligonychus yothersi (McGregor, 1914)","(McGregor, 1914)","Oligonychus yothersi","Oligonychus","yothersi",NA,"species",NA,"Tuttle, D.M., Baker, E.W. and Sales, F.M. Spider mites (Tetranychidae: Acarina) of the state of Ceara, Brazil. International Journal of Acarology, 3: 1-8. (1977).","synonym",NA,NA,"Animalia","Arthropoda",NA,"Trombidiformes","Tetranychidae","Oligonychus",NA,NA,NA,NA,NA,NA,"Oligonychus yothersi",NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"NEW","7870758","7ddf754f-d193-4cc9-b351-99906754a03b","2129589","2129266","9156649","Mixonychus ziolanensis (Lo & Ho, 1989)","(Lo & Ho, 1989)","Mixonychus ziolanensis","Mixonychus","ziolanensis",NA,"species",NA,"Bolland, H.R., Gutierrez, J. and Flechtmann, C.H.W. World catalogue of the spider mite family (Acari: Tetranychidae). Leiden, Brill Academic Publishers: 392 p. (1998).","synonym",NA,NA,"Animalia","Arthropoda",NA,"Trombidiformes","Tetranychidae","Mixonychus",NA,NA,NA,NA,NA,NA,"Mixonychus ziolanensis",NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
